# From MPO309141
1 Ceres,e,10.5934,80.3293,72.5220,2.767506,0.2140776,0.07582276,95.9892,12/09.0/2014,2000,H 3.34,0.12
# From MPO319080
2 Pallas,e,34.8410,173.0962,309.9303,2.771606,0.2136027,0.23127367,78.2287,12/09.0/2014,2000,H 4.13,0.11
# From MPO319080
3 Juno,e,12.9817,169.8712,248.4100,2.670700,0.2258220,0.25544825,33.0772,12/09.0/2014,2000,H 5.33,0.32
# From MPO309141
4 Vesta,e,7.1404,103.8514,151.1984,2.361793,0.2715446,0.08874010,20.8639,12/09.0/2014,2000,H 3.20,0.32
# From MPO319080
7 Iris,e,5.5227,259.6207,145.4612,2.386660,0.2673119,0.23079447,72.1487,12/09.0/2014,2000,H 5.51,0.15
# From MPO319080
8 Flora,e,5.8878,110.9223,285.4669,2.201958,0.3016411,0.15633714,71.8387,12/09.0/2014,2000,H 6.49,0.28
# From MPO305425
9 Metis,e,5.5744,68.9447,5.8688,2.386435,0.2673497,0.12229015,209.6857,12/09.0/2014,2000,H 6.28,0.17
# From MPO319080
11 Parthenope,e,4.6299,125.5671,196.0176,2.452501,0.2566199,0.10002542,227.8371,12/09.0/2014,2000,H 6.55,0.15
# From MPO305425
13 Egeria,e,16.5375,43.2514,80.1484,2.577045,0.2382436,0.08379032,166.7207,12/09.0/2014,2000,H 6.74,0.15
# From MPO319080
14 Irene,e,9.1181,86.1601,98.0012,2.586683,0.2369132,0.16608319,145.5579,12/09.0/2014,2000,H 6.30,0.15
# From MPO305425
15 Eunomia,e,11.7389,293.1871,97.5542,2.643915,0.2292624,0.18745939,277.5295,12/09.0/2014,2000,H 5.28,0.23
# From MPO319080
16 Psyche,e,3.0989,150.2745,227.1228,2.922785,0.1972462,0.13635292,334.6558,12/09.0/2014,2000,H 5.90,0.20
# From MPO319080
17 Thetis,e,5.5909,125.5690,135.8048,2.471953,0.2535968,0.13249215,257.7500,12/09.0/2014,2000,H 7.76,0.15
# From MPO319080
18 Melpomene,e,10.1337,150.4717,227.9316,2.295006,0.2834838,0.21892562,173.7805,12/09.0/2014,2000,H 6.51,0.25
# From MPO319080
19 Fortuna,e,1.5736,211.1574,182.2755,2.441588,0.2583422,0.15880102,143.7875,12/09.0/2014,2000,H 7.13,0.10
# From MPO319080
20 Massalia,e,0.7083,206.1370,256.6388,2.408814,0.2636327,0.14289060,56.0026,12/09.0/2014,2000,H 6.50,0.25
# From MPO319080
21 Lutetia,e,3.0638,80.8853,250.1631,2.434519,0.2594684,0.16459493,289.0152,12/09.0/2014,2000,H 7.35,0.11
# From MPO296118
22 Kalliope,e,13.7154,66.0819,354.8822,2.910725,0.1984734,0.09971792,240.3456,12/09.0/2014,2000,H 6.45,0.21
# From MPO319080
27 Euterpe,e,1.5837,94.8001,356.5402,2.347086,0.2741010,0.17227701,256.5656,12/09.0/2014,2000,H 7.0,0.15
# From MPO309141
29 Amphitrite,e,6.0894,356.4216,61.9240,2.555143,0.2413132,0.07211217,259.5343,12/09.0/2014,2000,H 5.85,0.20
# From MPO298953
32 Pomona,e,5.5240,220.4571,338.8941,2.587288,0.2368301,0.08016221,13.7484,12/09.0/2014,2000,H 7.56,0.15
# From MPO319080
39 Laetitia,e,10.3805,157.1147,208.3000,2.768950,0.2139102,0.11391896,320.1521,12/09.0/2014,2000,H 6.0,0.15
# From MPO305425
43 Ariadne,e,3.4704,264.8713,16.3424,2.203262,0.3013734,0.16873915,15.6050,12/09.0/2014,2000,H 7.93,0.11
# From MPO319080
44 Nysa,e,3.7068,131.5585,343.3910,2.423695,0.2612084,0.14877757,24.5918,12/09.0/2014,2000,H 7.03,0.46
# From MPO319080
49 Pales,e,3.1738,285.9964,110.1982,3.093790,0.1811206,0.22748649,312.9026,12/09.0/2014,2000,H 7.8,0.15
# From MPO305425
51 Nemausa,e,9.9800,176.0245,2.0977,2.365163,0.2709645,0.06691856,23.1006,12/09.0/2014,2000,H 7.35,0.08
# From MPO319080
64 Angelina,e,1.3102,309.1533,178.7423,2.681211,0.2244954,0.12659745,39.5960,12/09.0/2014,2000,H 7.67,0.48
# From MPO319080
65 Cybele,e,3.5625,155.6382,102.3637,3.428311,0.1552686,0.11066468,12.8886,12/09.0/2014,2000,H 6.62,0.01
# From MPO319080
68 Leto,e,7.9719,44.1370,304.9294,2.780998,0.2125216,0.18717795,281.1376,12/09.0/2014,2000,H 6.78,0.05
# From MPO319080
69 Hesperia,e,8.5856,185.0265,289.7908,2.976951,0.1918874,0.17050102,353.3060,12/09.0/2014,2000,H 7.05,0.19
# From MPO319081
71 Niobe,e,23.2680,316.0391,266.6528,2.757567,0.2152360,0.17411303,279.8601,12/09.0/2014,2000,H 7.30,0.40
# From MPO309141
72 Feronia,e,5.4165,207.9786,103.1408,2.265895,0.2889645,0.12088745,264.2610,12/09.0/2014,2000,H 8.94,0.15
# From MPO313415
74 Galatea,e,4.0773,197.2785,174.1649,2.778331,0.2128276,0.23999326,294.7706,12/09.0/2014,2000,H 8.66,0.15
# From MPO319081
89 Julia,e,16.1398,311.6043,45.1604,2.552568,0.2416785,0.18276676,110.6395,12/09.0/2014,2000,H 6.60,0.15
# From MPO319081
